타임스탬프,1-1. 연령대,1-2. 현재 신분,2-1. 본인은 응급실을 이용해본 경험이 있습니까?,2-2 응급실을 이용하게 된 상황은 무엇이었습니까? (복수 선택 가능),2-3. 응급실 방문 과정에서 병원을 찾기 어려웠던 경험이 있습니까?,"2-4. 응급 상황 당시, 어떤 방식으로 정보를 탐색했습니까? (복수 선택 가능)",2-5. 응급실 수용 거부 또는 이른바 “응급실 뺑뺑이”와 유사한 상황을 경험한 적이 있습니까?  ,3-1. “응급실 뺑뺑이” 문제가 사회적으로 심각하다고 생각하십니까?  ,3-2. 응급 상황에서 가장 부족하다고 느끼는 정보는 무엇이라고 생각하십니까?  ,4-1. 다음 공공 응급의료 앱을 알고 있습니까?  ,4-2. 해당 앱을 실제 사용해본 경험이 있습니까?  ,4-3. 사용하지 않았다면 가장 큰 이유는 무엇입니까?  ,4-4. 공공 응급의료 앱에 추가되었으면 하는 기능은 무엇입니까? (복수 선택 가능) ,5-1. 응급 상황에서 가장 중요하다고 생각하는 것은 무엇입니까?  ,5-2. 응급의료 시스템 개선을 위해 필요하다고 생각하는 점이 있다면 자유롭게 작성해주세요.  
2026. 5. 15 오전 11:46:21,20대,대학생,아니오,,,,,매우 그렇다,이송 가능 여부,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,"응급실 혼잡도 표시, 진료 가능 여부, 현재 위치 기반 가장 가까운 병원 안내, 응급처치 정보 제공, 119 연계 기능",,
2026. 5. 15 오전 11:47:47,20대,대학생,예,고열 및 질병,아니오,"포털 사이트 검색 (네이버, 구글 등), SNS/커뮤니티",뉴스로만 접했다,그렇다,응급실 혼잡도,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,"응급실 혼잡도 표시, 진료 가능 여부",빠른 대처,
2026. 5. 15 오전 11:50:00,20대,대학생,아니오,,,,,그렇다,응급실 혼잡도,"응급똑똑, 응급의료정보제공 (E-Gen)",이름만 들어봤다,필요성을 느끼지 못했다,"실시간 병상 현황, 응급실 혼잡도 표시, 진료 가능 여부, AI 기반 병원 추천, 현재 위치 기반 가장 가까운 병원 안내",,
2026. 5. 15 오전 11:50:24,20대,대학생,예,고열 및 질병,아니오,"포털 사이트 검색 (네이버, 구글 등), 병원에 직접 전화",뉴스로만 접했다,매우 그렇다,현재 진료 가능한 병원 정보,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,"진료 가능 여부, 현재 위치 기반 가장 가까운 병원 안내, 응급처치 정보 제공",모두가 진료받을 기회를 갖는 것,응급실 상비 인원 늘리기
2026. 5. 15 오후 1:21:42,20대,대학생,아니오,,,,,매우 그렇다,병상 현황,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,"실시간 병상 현황, 응급실 혼잡도 표시, 진료 가능 여부, 현재 위치 기반 가장 가까운 병원 안내",,
2026. 5. 15 오후 1:24:04,20대,대학생,예,갑작스러운 통증,예,지도 앱 검색,겪어본 적 없다,그렇지 않다,대기 시간,둘 다 모른다,사용해본 적 있다,앱 존재를 몰랐다,실시간 병상 현황,즉각대응이 가능한 가용 응급실의 수 ,
2026. 5. 15 오후 1:24:57,20대,대학생,아니오,,,,,보통이다,현재 진료 가능한 병원 정보,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,"실시간 병상 현황, 응급실 혼잡도 표시, 현재 위치 기반 가장 가까운 병원 안내",,
2026. 5. 15 오후 1:27:43,20대,대학생,예,"갑작스러운 통증, 사고/부상",아니오,근처 병원 방문,뉴스로만 접했다,매우 그렇다,병상 현황,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,"실시간 병상 현황, 진료 가능 여부",응급실 병상확보,지방 지역에 지역병원 응급실 및 응급 인원 확보
2026. 5. 15 오후 1:29:02,20대,대학생,예,"갑작스러운 통증, 사고/부상",아니오,"포털 사이트 검색 (네이버, 구글 등)",겪어본 적 없다,그렇다,응급실 혼잡도,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,"실시간 병상 현황, 응급실 혼잡도 표시",,
2026. 5. 15 오후 1:31:06,20대,대학생,예,"갑작스러운 통증, 만성 위장 통증",아니오,가족/지인에게 연락,겪어본 적 없다,매우 그렇다,전문의 유무,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,"응급실 혼잡도 표시, 진료 가능 여부, 현재 위치 기반 가장 가까운 병원 안내","대기 소요 시간 안내, 질환별 전문의 할당(본인 질환 아니라고 뺑뺑이 시키거나 진통제 복용조치 후 끝내는 경우 많음)",내부 질서 체계화(혼잡도 개선)
2026. 5. 15 오후 5:24:00,20대,대학생,아니오,,,,,보통이다,병상 현황,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,"실시간 병상 현황, 응급실 혼잡도 표시, 진료 가능 여부",신속성,부상 정도에 따라서 차별적 대응
2026. 5. 15 오후 11:35:31,20대,대학생,예,갑작스러운 통증,아니오,"포털 사이트 검색 (네이버, 구글 등), 가족/지인에게 연락",뉴스로만 접했다,매우 그렇다,현재 진료 가능한 병원 정보,둘 다 모른다,처음 알았다,필요성을 느끼지 못했다,"응급실 혼잡도 표시, 진료 가능 여부",신속한 치료,길에서 허비하는 시간을 줄이기 위해 한번에 진료가능한 병원으로 이송하는 것이 중요하다고 생강
2026. 5. 16 오전 10:06:45,40대 이상,직장인,예,"갑작스러운 통증, 고열 및 질병, 보호자로서 동행, ",예,"가족/지인에게 연락, 119 문의, 병원에 직접 전화",겪어본 적 없다,매우 그렇다,이송 가능 여부,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,"실시간 병상 현황, 응급실 혼잡도 표시, 진료 가능 여부","빠른 이송으로  응급환자가 골든타임을 놓치지않고 치료할수있게  환자거부가 많은 응급실상황이  체계적으로 잘  개선되어서 응급환자수용이 거부되지않게 개선되었으면 좋겠습니다 
여러가지 요건으로 응급실뺑뺑이가 아직도 많이 발생 하여 소중한 생명을 잃는 경우가 많아서 너무 안타깝습니다",응급실 의료진이 보충되어서  응급실 뺑뺑이 없이 신속한 응급치료가 가능하였으면 좋겠습니다
2026. 5. 19 오후 5:41:00,20대,대학생,예,"갑작스러운 통증, 보호자로서 동행, 기저질환의 증상 심화",아니오,"포털 사이트 검색 (네이버, 구글 등)",뉴스로만 접했다,그렇다,병상 현황,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,"실시간 병상 현황, 응급실 혼잡도 표시, 진료 가능 여부",빠른 처치,
2026. 5. 19 오후 5:41:28,20대,대학생,아니오,,,,,그렇다,현재 진료 가능한 병원 정보,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,"실시간 병상 현황, 진료 가능 여부",,
2026. 5. 19 오후 5:44:43,20대,대학생,예,고열 및 질병,아니오,지도 앱 검색,뉴스로만 접했다,매우 그렇다,병원이 환자 받기를 거부,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,실시간 병상 현황,"속도
골든타임 준수","응급환자를 수용 가능한 병원을 늘리고, 응급의료에 대한 수가를 늘려줘야한다고 생각한다."
2026. 5. 19 오후 5:45:08,20대,대학생,예,보호자로서 동행,아니오,119 문의,뉴스로만 접했다,그렇다,현재 진료 가능한 병원 정보,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,진료 가능 여부,전문의 인력 상시 준비,"응급의학과 및 비인기필수과 처우 개선, 수가 보상체계 개혁"
2026. 5. 19 오후 5:45:26,20대,대학생,아니오,,,,,매우 그렇다,전문의 유무,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,"실시간 병상 현황, 현재 위치 기반 가장 가까운 병원 안내",빠른 처치,
2026. 5. 19 오후 5:45:57,20대,대학생,예,알러지,아니오,"가족/지인에게 연락, 병원에 직접 전화",뉴스로만 접했다,매우 그렇다,전문의 유무,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,"실시간 병상 현황, 응급실 혼잡도 표시, 진료 가능 여부, 현재 위치 기반 가장 가까운 병원 안내",골든타임 지키기,의사가 사명감 가지기
2026. 5. 19 오후 5:47:26,20대,대학생,아니오,,,,,그렇다,현재 진료 가능한 병원 정보,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,"실시간 병상 현황, 진료 가능 여부, 응급처치 정보 제공",,
